__stool_NN_2	solid excretory product evacuated from the bowels 
__chieftainship_NN_1	the position of chieftain 
__saxony_NN_1	an area in Germany around the upper Elbe river the original home of the Saxons 
__ondatra_zibethica_NN_1	beaver-like aquatic rodent of North America with dark glossy brown fur 
__founder_VB_2	sink below the surface 
__rose_campion_NN_1	an old cottage garden plant of southeastern Europe widely cultivated for its attractive white woolly foliage and showy crimson flowers 
__enjoyment_NN_1	the pleasure felt when having a good time 
__german_shepherd_dog_NN_1	breed of large shepherd dogs used in police work and as a guide for the blind 
__quilt_VB_1	stitch or sew together quilt the skirt 
__wake_island_NN_1	an island in the western Pacific between Guam and Hawaii 
__raise_VB_8	move upwards lift one s eyes 
__admiralty_NN_1	the department in charge of the navy as in Great Britain 
__opener_NN_3	a hand tool used for opening sealed containers bottles or cans 
__watchman_NN_1	a guard who keeps watch 
__reducing_NN_2	loss of excess weight as by dieting becoming slimmer a doctor supervised her reducing 
__twaddle_VB_1	speak about unimportant matters rapidly and incessantly 
__yodel_NN_1	a songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto 
__apostolic_delegate_NN_1	Roman Catholic Church a representative of the Holy See in a country that has no formal diplomatic relations with it 
__exhilaration_NN_1	the feeling of lively and cheerful joy he could hardly conceal his excitement when she agreed 
__latticework_NN_1	framework consisting of an ornamental design made of strips of wood or metal 
__lifer_NN_1	a prisoner serving a term of life imprisonment 
__mandragora_NN_1	a genus of stemless herbs of the family Solanaceae 
__bit_NN_6	a unit of measurement of information from binary + digit the amount of information in a system having two equiprobable states there are 8 bits in a byte 
__dispraise_NN_1	the act of speaking contemptuously of 
__genus_bletia_NN_1	genus of tropical American terrestrial orchids with large purple or pink flowers 
__silicon_valley_NN_1	a region in California to the south of San Francisco that is noted for its concentration of high-technology industries 
__rush_VB_2	attack suddenly 
__placodermi_NN_1	extinct group of bony-plated fishes with primitive jaws 
__idolization_NN_1	the act of admiring strongly 
__rhincodontidae_NN_1	small-toothed sharks comprising only one species 
__taurotragus_NN_1	African antelopes elands 
__saddam	s_martyrs_NN_1 a feared paramilitary unit formed in 1995 by young soldiers to serve Saddam Hussein against domestic opponents 
__otariidae_NN_1	eared seals sea lions and fur seals 
__preachification_NN_1	moralization delivered tediously in a preachy manner 
__vena_peroneus_NN_1	accompany the peroneal arteries arising in the heel and running up the back of the leg to join the posterior tibial veins of the popliteal vein 
__webb_NN_2	English sociologist and economist and a central member of the Fabian Society 1859-1947 
__sledgehammer_NN_1	a heavy long-handled hammer used to drive stakes or wedges 
__shipyard_NN_1	a workplace where ships are built or repaired 
__adequateness_NN_1	the quality of being able to meet a need satisfactorily he questioned the adequacy of the usual sentimental interpretation of the Golden Rule 
__third_estate_NN_1	the common people 
__redoubt_NN_1	military a temporary or supplementary fortification typically square or polygonal without flanking defenses 
__freewheeler_NN_1	someone acting freely or even irresponsibly 
__union_representative_NN_1	a representative for a labor union 
__sundacarpus_NN_1	one species 
__baffle_board_NN_1	a flat plate that controls or directs the flow of fluid or energy 
__squat_VB_1	sit on one s heels In some cultures the women give birth while squatting The children hunkered down to protect themselves from the sandstorm 
__jacaranda_NN_1	an important Brazilian timber tree yielding a heavy hard dark-colored wood streaked with black 
__genus_cheiranthus_NN_1	Old World perennial plants grown for their showy flowers 
__supposition_NN_3	the cognitive process of supposing 
__st	_lucia_NN_1 a country on the island of Saint Lucia gained independence from Great Britain in 1979 
__wind_VB_4	catch the scent of get wind of The dog nosed out the drugs 
__pyrrhula_NN_1	bullfinches 
__slezsko_NN_1	a region of central Europe rich in deposits of coal and iron ore annexed by Prussia in 1742 but now largely in Poland 
__ramble_NN_1	an aimless amble on a winding course 
__lobularity_NN_1	the property of having lobules 
__family_bacteroidaceae_NN_1	family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals sometimes associated with acute infective processes 
__leaf_beetle_NN_1	brightly colored beetle that feeds on plant leaves larvae infest roots and stems 
__school_year_NN_1	the period of time each year when the school is open and people are studying 
__papal_nuncio_NN_1	Roman Catholic Church a diplomatic representative of the Pope having ambassadorial status 
__talwin_NN_1	analgesic drug trade name Talwin that is less addictive than morphine 
__allometry_NN_1	the study of the relative growth of a part of an organism in relation to the growth of the whole 
__uterine_cervix_NN_1	necklike opening to the uterus 
__midwestern_united_states_NN_1	the north central region of the United States sometimes called the heartland or the breadbasket of America 
__run_up_VB_2	raise hoist the flags hoist a sail 
__obadiah_NN_2	an Old Testament book telling Obadiah s prophecies the shortest book in the Christian Bible 
__hemophilia_a_NN_1	hemophilia caused by a congenital deficiency of factor VIII occurs almost exclusively in men 
__paridae_NN_1	titmice and chickadees 
__family_crangonidae_NN_1	shrimps 
__excite_VB_8	produce a magnetic field in excite the neurons 
__surgical_contraception_NN_1	contraception by surgical sterilization 
__the_alps_NN_1	a large mountain system in south-central Europe scenic beauty and winter sports make them a popular tourist attraction 
__privatization_NN_1	changing something from state to private ownership or control 
__spade_VB_1	dig up with a spade I spade compost into the flower beds 
__propellent_NN_1	any substance that propels 
__podicipitiformes_NN_1	grebes 
__odocoileus_hemionus_columbianus_NN_1	mule deer of western Rocky Mountains 
__noise_NN_4	a loud outcry of protest or complaint the announcement of the election recount caused a lot of noise whatever it was he didn t like it and he was going to let them know by making as loud a noise as he could 
__fate_VB_1	decree or designate beforehand She was destined to become a great pianist 
__no-account_NN_1	an idle worthless person 
__staff_officer_NN_1	a commissioned officer assigned to a military commander s staff 
__credible_JJ_1	capable of being believed completely credible testimony credible information 
__trench_NN_1	a ditch dug as a fortification having a parapet of the excavated earth 
__psyche_NN_1	that which is responsible for one s thoughts and feelings the seat of the faculty of reason his mind wandered I couldn t get his words out of my head 
__mutation_NN_2	genetics any event that changes genetic structure any alteration in the inherited nucleic acid sequence of the genotype of an organism 
__rabat_NN_1	the capital of Morocco located in the northwestern on the Atlantic coast 
__strongbox_NN_1	a strongly made box for holding money or valuables can be locked 
__robert_nesta_marley_NN_1	Jamaican singer who popularized reggae 1945-1981 
__sudan_NN_1	a republic in northeastern Africa on the Red Sea achieved independence from Egypt and the United Kingdom in 1956 
__symphalangus_NN_1	used in some classifications for the siamangs pull a person apart with four horses tied to his extremities so as to execute him in the old days people were drawn and quartered for certain crimes 
__psephurus_NN_1	a genus of Polyodontidae 
__victor_hugo_NN_1	French poet and novelist and dramatist leader of the romantic movement in France 1802-1885 
__mycosis_NN_1	an inflammatory condition caused by a fungus 
__maltster_NN_1	a maker of malt 
__grownup_NN_1	a fully developed person from maturity onward 
__manchuria_NN_1	a region in northeastern China 
__bush_pea_NN_1	any of various plants of the genus Thermopsis having trifoliate leaves and yellow or purple racemose flowers 
__flame_nettle_NN_1	any of various Old World tropical plants of the genus Coleus having multicolored decorative leaves and spikes of blue flowers 
__ticker_NN_1	the hollow muscular organ located behind the sternum and between the lungs its rhythmic contractions move the blood through the body he stood still his heart thumping wildly 
__sealer_NN_1	a kind of sealing material that is used to form a hard coating on a porous surface as a coat of paint or varnish used to size a surface 
__rhexia_NN_1	deer grass 
__fastener_NN_1	a person who fastens or makes fast he found the door fastened and wondered who the fastener was 
__spread_out_VB_4	extend in one or more directions The dough expands 
__confide_VB_1	reveal in private tell confidentially 
__receptionist_NN_1	a secretary whose main duty is to answer the telephone and receive visitors 
__rushing_NN_1	American football an attempt to advance the ball by running into the line the linebackers were ready to stop a rush 
__vidua_NN_1	whydahs 
__pseudococcus_NN_1	type genus of the Pseudococcidae 
__sutura_sagittalis_NN_1	the suture uniting the two parietal bones 
__tempt_VB_1	dispose or incline or entice to We were tempted by the delicious-looking food 
__existentialist_philosopher_NN_1	a philosopher who emphasizes freedom of choice and personal responsibility but who regards human existence in a hostile universe as unexplainable 
__voice_VB_2	utter with vibrating vocal chords 
__discomposure_NN_2	a temperament that is perturbed and lacking in composure 
__trevino_NN_1	United States golfer born in 1939 
__salvadorian_NN_1	a native or inhabitant of El Salvador 
__mound_NN_4	structure consisting of an artificial heap or bank usually of earth or stones they built small mounds to hide behind 
__polite_JJ_3	not rude marked by satisfactory or especially minimal adherence to social usages and sufficient but not noteworthy consideration for others even if he didn t like them he should have been civil - W S Maugham 
__taste_NN_3	delicate discrimination especially of aesthetic values arrogance and lack of taste contributed to his rapid success to ask at that particular time was the ultimate in bad taste 
__kinswoman_NN_1	a female relative 
__pillars_of_hercules_NN_1	the two promontories at the eastern end of the Strait of Gibraltar according to legend they were formed by Hercules 
__epidendrum_venosum_NN_1	Mexican epiphytic orchid having pale green or yellow-green flowers with white purple-veined lip 
__tinsel_VB_2	adorn with tinsel snow flakes tinseled the trees 
__cash_machine_NN_1	an unattended machine outside some banks that dispenses money when a personal coded card is used 
__violoncellist_NN_1	someone who plays a violoncello 
